evidence_status,research_use,case_id,title,family_id,variant_count,event_count,trace_perfect_task,critical_error_task,source_line_exact_plus_adjacent_rate,reason_state_consistency_rate,simulated_issue
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,array_count_positive_full_core,统计正数个数（核心样例）,array_pointer,2,28,yes,no,1.0,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,array_longest_run_full_core,最长非递减连续段（核心样例）,array_pointer,2,52,yes,no,1.0,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,array_product_except_self_full_edge,除自身以外数组乘积（边界样例）,array_pointer,2,92,yes,no,0.978260869565,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,articulation_bridges,割点和桥,advanced_graph,2,164,no,no,0.944785276074,0.993902439024,non-critical source-line concentration
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,binary_lower_bound_full_core,下界插入位置（核心样例）,binary_search,2,26,yes,no,1.0,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,binary_lower_bound_full_edge,下界插入位置（边界样例）,binary_search,2,5,yes,no,1.0,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,binary_lower_bound_full_transfer,下界插入位置（迁移样例）,binary_search,2,18,yes,no,1.0,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,binary_search,二分查找,binary_search,2,24,yes,no,1.0,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,bipartite_matching,二分图匹配,advanced_graph,2,114,yes,no,0.982300884956,0.991228070175,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,climbing_stairs_ways_synthetic,爬楼梯方案数,dp_1d,2,14,yes,no,1.0,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,combinations_pascal,组合数,math_bit,2,84,yes,no,0.988095238095,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,convex_hull,凸包,geometry_sweep,2,100,yes,no,0.98,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,convex_hull_expansion,凸包扩展样例,geometry_sweep,2,84,yes,no,0.97619047619,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,count_islands_synthetic,岛屿数量,basic_graph,2,56,yes,no,0.964285714286,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,course_schedule_possible_synthetic,课程安排可行性,basic_graph,2,50,yes,no,1.0,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,digit_dp_no_seven,数位 DP 统计不含 7,dp_core,2,107,yes,no,0.981132075472,0.990654205607,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,dijkstra_shortest_path_expansion,Dijkstra 最短路扩展样例,shortest_path_mst,2,59,yes,no,0.966101694915,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,dp_climb_three_steps_full_core,三步爬楼梯（核心样例）,dp_1d,2,29,yes,no,1.0,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,dp_climb_three_steps_full_transfer,三步爬楼梯（迁移样例）,dp_1d,2,104,yes,no,0.980769230769,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,dp_grid_paths_obstacles_full_edge,带障碍网格路径数（边界样例）,dp_2d,2,8,yes,no,1.0,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,dp_grid_paths_obstacles_full_transfer,带障碍网格路径数（迁移样例）,dp_2d,2,34,yes,no,1.0,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,dp_subset_sum_possible_full_edge,子集和可达性（边界样例）,dp_core,2,9,yes,no,1.0,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,floyd_warshall_all_pairs,Floyd-Warshall 全源最短路,shortest_path_mst,2,59,yes,no,0.983050847458,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,gcd_euclid,最大公约数,math_bit,2,32,yes,no,1.0,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,graph_component_count_full_edge,无向图连通分量数（边界样例）,basic_graph,2,14,yes,no,1.0,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,graph_connected_components,图连通分量,basic_graph,2,75,yes,no,0.973333333333,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,graph_topological_sort,拓扑排序,basic_graph,2,58,yes,no,0.98275862069,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,grid_min_path_sum_synthetic,网格最小路径和,dp_2d,2,64,yes,no,1.0,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,hash_is_anagram_full_transfer,判断字母异位词（迁移样例）,hash_map,2,75,yes,no,0.973333333333,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,hash_longest_consecutive_full_core,最长连续整数序列（核心样例）,hash_map,2,78,yes,no,0.987179487179,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,heap_last_stone_full_edge,最后一块石头重量（边界样例）,heap_topk_huffman,2,7,yes,no,1.0,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,huffman_merge_cost_synthetic,Huffman 合并总代价,heap_topk_huffman,2,81,yes,no,0.975308641975,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,insertion_sort,插入排序,sorting,2,106,yes,no,0.981132075472,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,interval_scheduling_max_count_synthetic,最多不重叠区间,greedy,2,67,yes,no,0.970149253731,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,jump_game_expansion,跳跃游戏扩展样例,greedy,2,35,yes,no,1.0,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,lcs_length,最长公共子序列长度,dp_core,2,265,no,yes,0.984790874525,0.992452830189,wrong algorithmic state update
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,next_greater_right_synthetic,右侧下一个更大元素,monotonic_stack,2,60,yes,no,0.983333333333,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,permutations,全排列,backtracking_recursion,2,214,no,no,0.981220657277,0.934579439252,non-critical explanation imprecision
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,permutations_expansion,全排列扩展样例,backtracking_recursion,2,67,yes,no,0.970149253731,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,quickselect_kth_smallest_synthetic,快速选择第 K 小,sorting,2,59,yes,no,0.983050847458,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,redundant_connection_synthetic,冗余连接检测,union_find,2,35,yes,no,1.0,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,reverse_linked_list,反转链表,linked_list_cache,2,54,yes,no,1.0,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,reverse_linked_list_expansion,反转链表扩展样例,linked_list_cache,2,40,yes,no,1.0,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,segment_tree_range_sum,线段树区间和,range_structure,2,79,yes,no,0.987341772152,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,sieve_primes,埃氏筛,math_bit,2,106,yes,no,0.980952380952,0.990566037736,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,sparse_table_range_min,稀疏表区间最小值,range_structure,2,62,yes,no,1.0,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,string_count_palindromic_substrings_full_core,回文子串数量（核心样例）,string_advanced,2,115,yes,no,0.982608695652,1.0,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,string_count_palindromic_substrings_full_edge,回文子串数量（边界样例）,string_advanced,2,7,yes,no,1.0,1.0,
