evidence_status,research_use,reviewer_id,case_id,family_id,variant_id,strategy_fidelity,step_completeness,temporal_ordering,final_state_consistency,critical_semantic_error,trace_perfect,notes
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,LLM_SIM_A,quickselect_kth_smallest_synthetic,sorting,v2,pass,pass,pass,pass,no,no,LLM-simulated label; not produced by a human expert
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,LLM_SIM_A,string_count_palindromic_substrings_full_core,string_advanced,v2,pass,pass,pass,pass,no,yes,LLM-simulated label; not produced by a human expert
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,LLM_SIM_A,z_algorithm,string_advanced,naive,pass,pass,pass,pass,no,yes,LLM-simulated label; not produced by a human expert
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,LLM_SIM_A,unweighted_distances_synthetic,basic_graph,bfs_queue,fail,pass,pass,pass,yes,no,LLM-simulated label; not produced by a human expert
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,LLM_SIM_A,union_count_components_full_transfer,union_find,v2,pass,pass,pass,pass,no,yes,LLM-simulated label; not produced by a human expert
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,LLM_SIM_A,tree_max_depth_full_core,tree_bst_lca,v2,pass,pass,pass,pass,no,yes,LLM-simulated label; not produced by a human expert
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,LLM_SIM_A,z_algorithm,string_advanced,zbox,pass,pass,pass,pass,no,yes,LLM-simulated label; not produced by a human expert
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,LLM_SIM_A,count_islands_synthetic,basic_graph,v1,pass,pass,pass,pass,no,yes,LLM-simulated label; not produced by a human expert
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,LLM_SIM_A,combinations_pascal,math_bit,v2,pass,pass,pass,pass,no,yes,LLM-simulated label; not produced by a human expert
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,LLM_SIM_A,zero_one_bfs_shortest_path,shortest_path_mst,v1,pass,pass,pass,pass,no,yes,LLM-simulated label; not produced by a human expert
